# Albuquerque NM 87108, 139 Zillow homes for sale, listing prices, 2/26/2016 1:00PM
# http://www.zillow.com/homes/for_sale/Albuquerque-NM-87108/95303_rid/any_days/35.095087-106.52167835.035021-106.633258_rect/13_zm/0_mmm/
Address,TypeSale,PriceList,Beds,Baths,Size_sqft,LotSize,YearBuilt,DaysListed
5017 Inspiration Dr SE Albuquerque NM,HOUSE,186900,3,2,1305,6969,1954,0
1339 San Mateo Blvd SE Albuquerque NM,APARTMENT,305000,1,1,2523,6098,1948,0
1333 San Mateo Blvd SE Albuquerque NM,APARTMENT,244000,1,1,2816,6098,1989,0
424 Indiana St SE Albuquerque NM,CONDO,108000,3,2,1137,,1996,0
8201 Trumbull Ave SE APT C Albuquerque NM,CONDO,64900,2,1,1000,,1985,1
1712 Ross Pl SE Albuquerque NM,HOUSE,275000,3,3,2022,6098,1952,1
537 Arizona St SE Albuquerque NM,HOUSE,133000,2,1,1440,8712,1952,1
4955 Palo Alto Ave SE Albuquerque NM,FORECLOSURE,75000,2,2,1207,11761.2,1965,1
8500 Roma Ave NE Albuquerque NM,HOUSE,149900,3,2,1573,9147,1958,1
4521 Inspiration Dr SE Albuquerque NM,HOUSE,207000,3,2,1394,7405,1952,2
507 Ortiz Dr NE Albuquerque NM,CONDO,150000,3,2,1280,,1998,2
318 Truman St NE Albuquerque NM,APARTMENT,274000,1,1,1800,6969,1949,2
446 Solano Dr NE Albuquerque NM,HOUSE,367500,4,2,2801,6969,1941,6
512 Jackson St SE Albuquerque NM,HOUSE,215000,2,1,1438,6534,1953,6
1133 Kentucky St SE Albuquerque NM,APARTMENT,189500,1,1,3256,9583,1978,7
405 Montclaire Dr NE Albuquerque NM,HOUSE,259900,3,2,1775,,1956,7
721 Cagua Dr SE Albuquerque NM,HOUSE,150000,2,1,1024,6752,1952,8
340 Grove St SE Albuquerque NM,FORECLOSURE,91200,4,6,2350,6534,1972,8
224 Hermosa Dr SE Albuquerque NM,HOUSE,425000,5,2,3500,5227,1962,8
320 Charleston St NE Albuquerque NM,APARTMENT,149000,1,1,2400,8276,1956,9
905 Palomas Dr NE Albuquerque NM,HOUSE,166900,3,2,1780,6098,1950,9
817 Cagua Dr SE Albuquerque NM,HOUSE,125000,2,1,1032,6969,1949,11
605 Alvarado Dr SE Albuquerque NM,HOUSE,125000,2,2,1222,,1977,12
725 Madeira Dr NE Albuquerque NM,HOUSE,220000,3,3,1876,5662,1950,13
614 Adams St SE Albuquerque NM,HOUSE,250000,3,1,1205,,1950,14
508 Utah St NE Albuquerque NM,HOUSE,65000,2,1,930,,1951,14
800 Valencia Dr SE Albuquerque NM,HOUSE,137000,2,1,835,9147,1951,17
816 Ortiz Dr NE Albuquerque NM,HOUSE,125000,2,1,800,,1950,18
1416 Hermosa Dr SE Albuquerque NM,HOUSE,150000,3,2,1129,6098,1949,20
900 Georgia St SE Albuquerque NM,HOUSE,155000,4,2,1759,7405,1952,22
708 Dallas St NE Albuquerque NM,HOUSE,175000,3,3,2314,609840,1960,22
3928 Silver Ave SE Albuquerque NM,HOUSE,350000,3,3,1756,3049,2006,24
600 Madeira Dr SE Albuquerque NM,HOUSE,229000,3,2,2700,7840,1957,27
1040 San Pedro Dr SE Albuquerque NM,HOUSE,120000,3,2,1200,,1952,27
424 Fontana Pl NE Albuquerque NM,HOUSE,235000,3,2,2139,6969,1950,29
809 Dakota St SE Albuquerque NM,HOUSE,159900,4,2,1700,7405,1952,30
825 Florida St SE Albuquerque NM,FORECLOSURE,119900,3,2,1793,7405,1966,31
1200 Pampas Pl SE Albuquerque NM,HOUSE,225000,3,2,1552,5227,1949,32
229 Vermont St NE Albuquerque NM,HOUSE,100000,2,1,783,7500,1950,32
4640 Crest Ave SE Albuquerque NM,HOUSE,154000,2,1,928,6098,1949,34
340 Vermont St NE Albuquerque NM,APARTMENT,117000,1,1,1300,6534,1940,35
246 Tennessee St NE Albuquerque NM,APARTMENT,169900,1,1,3050,7405,1972,36
710 Charleston St NE Albuquerque NM,HOUSE,120000,3,2,1511,,1959,40
502 Ortiz Dr NE Albuquerque NM,HOUSE,169000,3,2,1600,,1979,40
1404 Ridgecrest Loop SE Albuquerque NM,HOUSE,389000,4,2.5,2780,10018,1979,41
516 Dallas St NE Albuquerque NM,HOUSE,149900,3,2,1970,6534,1950,42
348 Charleston St SE Albuquerque NM,APARTMENT,159000,1,1,3000,6098,1972,43
344 Charleston St SE Albuquerque NM,APARTMENT,159000,1,1,3000,6969,1971,43
139 Tennessee St SE Albuquerque NM,APARTMENT,163500,1,1,3126,6969,1980,44
120 Pennsylvania St NE Albuquerque NM,APARTMENT,539000,1,1,1820,20037.6,1970,44
4722 Crest Ave SE Albuquerque NM,HOUSE,259900,3,2.75,2470,6534,1947,44
500 Sierra Dr SE Albuquerque NM,HOUSE,339000,3,3,1740,9147,1951,45
334 Charleston St SE Albuquerque NM,APARTMENT,74500,1,1,1150,6969,1950,45
4911 Kathryn Cir SE Albuquerque NM,HOUSE,159000,2,1,1128,6969,1951,48
313 Charleston St SE Albuquerque NM,APARTMENT,120000,1,1,1947,7405,1950,50
3700 Anderson Ave SE Albuquerque NM,HOUSE,349000,3,2,2572,6969,1948,51
521 Charleston St SE Albuquerque NM,APARTMENT,140000,1,1,3060,6969,1976,60
625 Charleston St SE Albuquerque NM,APARTMENT,130000,1,1,3056,6534,1971,61
517 Charleston St SE Albuquerque NM,APARTMENT,255000,1,1,6120,13939.2,1976,61
1105 Quincy St SE Albuquerque NM,HOUSE,322000,3,2,2423,7405,1950,65
1129 Georgia St SE Albuquerque NM,APARTMENT,179000,1,1,2621,6098,1956,72
620 Alvarado Dr SE Albuquerque NM,HOUSE,120000,3,1,1650,6534,1960,75
7110 Copper Ave NE # 7116 Albuquerque NM,APARTMENT,145000,1,1,1930,7405,,78
126 Rhode Island St SE Albuquerque NM,APARTMENT,150000,1,1,3000,6969,1980,78
130 Rhode Island St SE Albuquerque NM,APARTMENT,150000,1,1,3417,6534,1983,78
1020 Adams St SE Albuquerque NM,HOUSE,659000,4,2.25,3800,12632.4,1947,79
4801 Southern Ave SE Albuquerque NM,HOUSE,219000,3,1.5,1720,6969,1949,80
4908 Inspiration Dr SE Albuquerque NM,HOUSE,192500,3,2,1387,9583,1950,83
4930 Palo Alto Ave SE Albuquerque NM,HOUSE,210000,3,1.75,1860,7405,1951,83
211 Manzano St NE Albuquerque NM,HOUSE,164950,2,1,1224,6534,1952,83
609 Chama St SE Albuquerque NM,APARTMENT,150000,1,1,3120,6534,1962,86
611 Chama St SE Albuquerque NM,APARTMENT,137000,1,1,2376,6534,1962,86
4901 Burton Ave SE Albuquerque NM,HOUSE,145000,2,1,1050,,1946,90
229 Cagua Dr NE Albuquerque NM,APARTMENT,169000,1,1,1700,,1931,94
415 Bell Park Cir SE Albuquerque NM,HOUSE,84500,2,1,1011,,1987,95
615 Valencia Dr SE Albuquerque NM,HOUSE,155000,3,,2555,,1960,95
716 Valencia Dr NE Albuquerque NM,HOUSE,175000,3,1.75,1609,6534,1956,97
928 Cardenas Dr SE Albuquerque NM,HOUSE,134500,3,2,1320,6534,1962,99
1213 Truman St SE Albuquerque NM,HOUSE,165000,3,1,1135,6534,1950,101
217 San Pablo St NE Albuquerque NM,APARTMENT,475000,1,1,7729,13503.6,1971,101
804 Van Buren Pl SE Albuquerque NM,HOUSE,178900,3,2,1370,10018,1950,102
1100 Alvarado Dr SE Albuquerque NM,CONDO,65000,2,1,830,,,104
4405 Marquette Ave NE Albuquerque NM,HOUSE,229000,2,1,1225,6534,1949,107
4705 Gibson Blvd SE Albuquerque NM,HOUSE,124500,2,2,1000,6534,1950,110
1024 Arizona St SE Albuquerque NM,HOUSE,155000,3,2,1506,8276,1951,111
517 Espanola St NE Albuquerque NM,HOUSE,142500,3,2,1857,6534,1953,113
625 Monroe St SE Albuquerque NM,HOUSE,150000,2,1,1109,6969,1950,115
825 Indiana St SE Albuquerque NM,HOUSE,115000,3,1,1179,,1960,117
1005 Alvarado Dr SE Albuquerque NM,APARTMENT,234900,1,1,3687,,1968,118
3837 Simms Ave SE Albuquerque NM,HOUSE,285000,3,2,2040,7405,,120
1121 Quincy St SE Albuquerque NM,HOUSE,169900,3,2,1312,6969,1950,122
615 Ridgecrest Dr SE Albuquerque NM,HOUSE,265000,3,1,1350,6969,1937,125
4931 Palo Alto Ave SE Albuquerque NM,FOR SALE BY OWNER,195000,4,2,1450,6500,1950,128
8109 Southern Ave SE Albuquerque NM,HOUSE,89500,3,1,889,5662,1958,130
436 Utah St NE Albuquerque NM,APARTMENT,365000,1,1,4968,13068,1974,132
4637 Gibson Blvd SE Albuquerque NM,FORECLOSURE,71300,3,2,1056,7405,1951,135
501 Valverde Dr SE Albuquerque NM,HOUSE,189500,3,2,1150,,1959,139
314 Solano Dr SE Albuquerque NM,HOUSE,450000,4,2.5,3187,,1961,142
2121 Jackson St SE Albuquerque NM,HOUSE,185000,3,2,1337,6098,1949,143
1032 California St SE Albuquerque NM,HOUSE,143900,4,2,1700,8712,1962,146
501 Morningside Dr SE Albuquerque NM,HOUSE,324900,2,2,1795,9583,1950,147
203 Aliso Dr NE Albuquerque NM,HOUSE,282000,3,2,1580,6534,1957,149
801 Van Buren Pl SE Albuquerque NM,HOUSE,199000,3,2,1622,8712,1951,150
4860 Southern Ave SE Albuquerque NM,HOUSE,157000,2,2,1082,6534,1950,153
1010 Jackson St SE Albuquerque NM,HOUSE,165000,3,2,1408,10454,1944,157
630 Charleston St NE Albuquerque NM,HOUSE,82000,2,1,1070,6098,1950,164
232 Espanola St NE Albuquerque NM,APARTMENT,145000,1,1,2020,6534,,164
8301 Copper Ave NE # 8303 Albuquerque NM,APARTMENT,99900,1,1,1345,7405,1956,173
1217 San Mateo Blvd SE Albuquerque NM,APARTMENT,122000,1,1,1599,6098,1948,177
612 Valverde Dr SE Albuquerque NM,HOUSE,281500,3,2,1775,9147,1950,182
305 Chula Vista Pl NE Albuquerque NM,HOUSE,299900,3,2,1650,6534,1948,185
310 Chama St NE Albuquerque NM,HOUSE,117500,3,1,1008,,1954,188
219 Virginia St NE Albuquerque NM,APARTMENT,90000,1,1,2100,6969,1943,190
644 Grove St NE Albuquerque NM,HOUSE,181500,3,3,2579,6534,1955,193
813 Madeira Dr SE Albuquerque NM,HOUSE,152000,3,1,1487,6534,1950,194
6313 Mitchell Ave SE Albuquerque NM,HOUSE,330000,4,2.5,2372,16117.2,1972,195
336 Pennsylvania St NE Albuquerque NM,APARTMENT,293000,1,1,5148,13503.6,1960,197
4933 Kathryn Cir SE Albuquerque NM,HOUSE,188000,2,1,962,,1950,198
537 Cardenas Dr SE Albuquerque NM,APARTMENT,99500,1,1,1250,6969,1950,199
419 Monroe St NE Albuquerque NM,APARTMENT,3110000,1,1,33000,56628,1960,201
1056 Quincy St SE Albuquerque NM,HOUSE,249000,3,2,1714,7840,1949,203
302 Virginia St NE Albuquerque NM,APARTMENT,269000,1,1,4382,16552.8,1955,203
4927 Palo Alto Ave SE Albuquerque NM,HOUSE,225000,3,2,1803,6098,1950,203
322 Morningside Dr SE Albuquerque NM,HOUSE,350000,2,1,1950,4791,1930,204
905 Madeira Dr NE Albuquerque NM,FORECLOSURE,109900,2,2,1100,5662,1953,207
240 San Pablo St NE Albuquerque NM,APARTMENT,212000,1,1,2658,6534,1953,211
236 San Pablo St NE Albuquerque NM,APARTMENT,212000,1,1,2666,6534,1958,211
422 Espanola St NE Albuquerque NM,HOUSE,129000,4,2,1480,8712,1960,228
515 Valencia Dr SE APT 8 Albuquerque NM,APARTMENT,350000,1,1,4000,12632.4,1960,228
912 Ridgecrest Dr SE Albuquerque NM,HOUSE,650000,5,5,5573,13068,1950,234
8301 San Juan Rd NE Albuquerque NM,HOUSE,234000,3,2,2205,10018,1961,243
1418 Odlum Dr SE Albuquerque NM,HOUSE,375000,3,3,2722,16552.8,1973,250
505 Torrance St SE Albuquerque NM,HOUSE,65000,3,1,875,5662,1958,253
1512 Hermosa Dr SE Albuquerque NM,HOUSE,99000,3,1,2258,6534,1949,265
1030 Palomas Dr SE Albuquerque NM,APARTMENT,130000,1,1,2343,7840,1957,295
1814 Ridgecrest Cir SE Albuquerque NM,HOUSE,211900,3,2,1490,10454,1955,310
8100 Decatur Ave SE Albuquerque NM,APARTMENT,169500,1,1,2975,10018,1980,322
1215 San Mateo Blvd SE Albuquerque NM,APARTMENT,137000,1,1,1575,5662,1948,341
1025 Valencia Dr SE APT 18 Albuquerque NM,CONDO,55000,1,1,610,,1976,361
324 Wisconsin St NE Albuquerque NM,HOUSE,115000,1,1,1305,6969,1955,374
320 Wisconsin St NE Albuquerque NM,HOUSE,115000,1,1,788,6969,1955,376
1503 Anderson Pl SE Albuquerque NM,HOUSE,189900,3,1.5,1351,6098,1941,546
233 Alcazar St NE Albuquerque NM,APARTMENT,145000,1,1,2332,6534,1978,1867
